Idade,Salario,Genero,Escolaridade,Score_Exame_Psicotecnico
63,34020.232577589224,Outro,Superior,76.0
63,28848.711908137797,Feminino,Fundamental,38.0
39,15535.635838688278,Masculino,Fundamental,54.0
49,23964.84820022721,Masculino,Médio,65.0
30,9823.788387903129,Outro,Médio,44.0
47,,Masculino,Médio,68.0
44,16010.610537055758,Masculino,Médio,76.0
58,,Feminino,Médio,59.0
52,26176.317759858644,Masculino,Superior,80.0
20,6501.372460037073,Feminino,Superior,69.0
46,24069.899553671108,Outro,Médio,44.0
32,15438.359751545851,Masculino,Superior,95.0
60,28895.15200233389,Outro,Médio,45.0
22,14070.833500217126,Outro,Superior,85.0
58,32787.538550236524,Masculino,Fundamental,23.0
25,9847.494261947362,Masculino,Superior,98.0
27,10620.908796776599,Outro,Médio,78.0
46,21624.74151424178,Masculino,Médio,74.0
28,2490.3941763220755,Feminino,Fundamental,20.0
56,20424.04468900724,Feminino,Médio,63.0
52,,Masculino,Fundamental,55.0
61,38724.83856750642,Outro,Fundamental,25.0
63,30254.81980221811,Masculino,Médio,80.0
43,24382.784815278832,Masculino,Médio,70.0
34,18556.25077271768,Outro,Médio,59.0
51,,Outro,Superior,83.0
51,31097.874557172883,Feminino,Médio,64.0
43,20860.412042596166,Outro,Médio,
60,25222.29779699787,Feminino,Fundamental,40.0
31,7467.768398712137,Outro,Superior,89.0
58,30017.318179336115,Masculino,Médio,63.0
21,,Feminino,Superior,89.0
22,3888.731452011629,Feminino,Superior,81.0
56,,Feminino,Médio,67.0
36,,Masculino,Fundamental,
21,18935.708175362823,Masculino,Superior,94.0
21,14908.198784747252,Masculino,Superior,87.0
47,,Masculino,Fundamental,33.0
42,28399.72069445013,Masculino,Médio,49.0
56,,Feminino,Superior,75.0
51,21193.578993358682,Masculino,Fundamental,35.0
52,33615.62038634829,Feminino,Superior,90.0
20,12694.550218423294,Masculino,Médio,64.0
38,13813.769228367717,Outro,Fundamental,32.0
21,9548.30660958196,Feminino,Superior,65.0
63,27121.908733076212,Outro,Médio,48.0
45,15586.00134517832,Feminino,Médio,75.0
51,30130.887737658206,Outro,Fundamental,39.0
25,22047.083202350652,Masculino,Fundamental,37.0
51,18507.162130904293,Masculino,Médio,60.0
23,14314.846183452853,Masculino,Médio,43.0
30,11746.787154390864,Feminino,Médio,72.0
36,15564.37308117652,Outro,Superior,86.0
57,25538.030378805655,Masculino,Médio,46.0
43,,Outro,Fundamental,25.0
24,12242.608139724134,Outro,Médio,54.0
53,22345.24941794481,Masculino,Superior,77.0
25,13852.284128899195,Masculino,Superior,91.0
41,20248.809452754314,Outro,Médio,50.0
30,13805.259765667952,Masculino,Médio,59.0
35,,Masculino,Médio,63.0
52,23116.143347158337,Masculino,Superior,74.0
28,17776.95612912878,Feminino,Superior,66.0
25,15004.585938121903,Outro,Médio,60.0
35,12612.223776007246,Outro,Superior,85.0
48,24496.66152714613,Feminino,Superior,
22,14756.935616858946,Outro,Fundamental,56.0
39,11152.973594393141,Masculino,Médio,60.0
55,30216.800961899677,Outro,Fundamental,
38,15686.881205270767,Masculino,Médio,44.0
45,,Feminino,Superior,62.0
22,7183.704217287415,Masculino,Médio,62.0
38,9975.589496677405,Outro,Médio,65.0
39,11362.287810584186,Outro,Fundamental,56.0
51,25740.42473330691,Outro,Médio,63.0
26,14298.61250860741,Feminino,Médio,58.0
60,,Feminino,Médio,64.0
52,29192.96229388687,Outro,Médio,
59,21192.3996886552,Masculino,Médio,51.0
58,28669.601006763416,Feminino,Médio,80.0
37,12444.919001187718,Outro,Fundamental,
59,26240.819460989205,Outro,Fundamental,23.0
20,10236.99335658207,Feminino,Médio,46.0
30,10697.933173580237,Feminino,Médio,61.0
47,21577.222278850873,Feminino,Médio,72.0
44,,Masculino,Médio,56.0
42,18115.540652384258,Masculino,Médio,63.0
50,,Outro,Superior,93.0
49,18851.46572671191,Feminino,Fundamental,47.0
61,33149.020889576415,Masculino,Médio,80.0
54,34207.8431032895,Feminino,Superior,98.0
26,641.7774993635539,Outro,Médio,61.0
35,13515.523722647617,Masculino,Médio,56.0
45,25385.3606359027,Masculino,Superior,
21,9484.773069785037,Masculino,Superior,65.0
20,11855.729366856543,Outro,Médio,45.0
31,12480.074066420897,Feminino,Médio,73.0
24,12432.9489373645,Masculino,Médio,40.0
56,27221.613823039603,Outro,Médio,49.0
51,31338.910308299037,Feminino,Médio,60.0
28,15272.104216506066,Outro,Médio,44.0
60,31688.01331037601,Feminino,Médio,41.0
54,24940.615169387664,Outro,Médio,61.0
38,16561.968879637534,Feminino,Superior,
35,15337.209060901896,Masculino,Médio,
22,12972.260711891484,Feminino,Fundamental,53.0
39,,Outro,Médio,55.0
43,22948.874284482063,Outro,Médio,78.0
52,,Feminino,Médio,61.0
43,25855.623517158463,Masculino,Médio,51.0
30,13369.882339160795,Masculino,Médio,63.0
27,19506.069610819723,Feminino,Médio,79.0
55,25459.623134892245,Feminino,Fundamental,57.0
57,18309.37732411073,Outro,Fundamental,29.0
59,24459.56844541298,Masculino,Médio,74.0
39,10146.04039487072,Feminino,Médio,71.0
54,25242.432579793458,Masculino,Superior,66.0
44,22092.091895947757,Feminino,Médio,60.0
54,35382.18656137641,Feminino,Médio,59.0
44,23634.636868820813,Masculino,Médio,
48,22904.49735595568,Feminino,Fundamental,23.0
37,22647.027905917446,Feminino,Superior,
65,21444.323454960577,Outro,Médio,54.0
37,19678.07279054283,Feminino,Superior,99.0
21,,Feminino,Fundamental,40.0
54,19607.068771100792,Feminino,Médio,
35,23218.770216034645,Outro,Médio,61.0
60,31692.48203747207,Masculino,Superior,87.0
55,25423.560430495992,Outro,Fundamental,33.0
52,29163.909330531424,Outro,Médio,66.0
23,22853.46428902198,Masculino,Superior,100.0
52,26909.331275292476,Outro,Médio,79.0
33,17741.10293150168,Masculino,Médio,67.0
40,,Outro,Fundamental,
39,15250.778152676041,Masculino,Superior,61.0
27,17651.679082721228,Feminino,Fundamental,44.0
26,8719.580870455664,Outro,Superior,
22,11357.831186096962,Outro,Superior,67.0
36,15611.712766174416,Outro,Médio,72.0
52,28394.89912873196,Outro,Médio,74.0
31,17168.310526434743,Feminino,Fundamental,25.0
41,25687.699721289497,Outro,Médio,78.0
41,17949.918005726264,Feminino,Superior,
65,,Feminino,Superior,84.0
49,19606.181421088462,Feminino,Médio,58.0
57,26278.533699619442,Feminino,Médio,44.0
57,30386.50246522426,Masculino,Fundamental,30.0
64,35784.94308322676,Masculino,Fundamental,31.0
27,8889.173379111873,Outro,Fundamental,29.0
46,,Masculino,Médio,47.0
46,29778.189294024756,Masculino,Médio,63.0
53,28567.174516118503,Outro,Médio,67.0
40,29383.979062790328,Outro,Médio,80.0
49,20631.054004482135,Outro,Médio,75.0
52,,Masculino,Médio,76.0
47,14606.398755478607,Masculino,Superior,80.0
52,33480.22155744591,Outro,Médio,47.0
24,,Feminino,Superior,68.0
38,18722.076645447723,Outro,Superior,74.0
23,12899.843131599102,Feminino,Fundamental,59.0
54,21372.554763508117,Feminino,Superior,77.0
36,30228.759898084132,Outro,Médio,59.0
63,32146.105909876136,Outro,Médio,45.0
47,24046.973973024466,Outro,Médio,51.0
49,28128.83311949346,Masculino,Médio,41.0
48,26405.046158683566,Feminino,Médio,46.0
65,33619.420121395655,Masculino,Médio,55.0
25,8547.62772277344,Masculino,Médio,42.0
54,29357.34178567998,Outro,Médio,42.0
60,39410.12248237517,Masculino,Médio,66.0
56,34727.100230774886,Outro,Superior,99.0
43,,Feminino,Fundamental,57.0
48,21443.921617844073,Outro,Médio,72.0
65,27551.975898707096,Masculino,Superior,
50,24371.06539950176,Masculino,Médio,40.0
54,27278.624561443474,Outro,Fundamental,27.0
52,31470.95759235474,Outro,Fundamental,56.0
40,11537.676851425904,Masculino,Médio,71.0
51,33147.75159730307,Feminino,Superior,96.0
42,,Feminino,Médio,43.0
52,23865.5946502629,Outro,Superior,89.0
22,5939.478123699161,Feminino,Médio,45.0
37,10225.716640671151,Masculino,Médio,58.0
44,26115.85291980957,Outro,Médio,71.0
61,30866.58983594202,Masculino,Médio,48.0
50,18550.19550129473,Masculino,Fundamental,31.0
22,4524.60613968192,Feminino,Superior,
59,27821.07650354936,Outro,Superior,75.0
65,40845.10762644697,Outro,Médio,40.0
43,20202.043243181975,Feminino,Superior,80.0
51,17984.285234409468,Masculino,Superior,89.0
41,19271.28467957028,Masculino,Médio,52.0
42,19636.38215126165,Masculino,Fundamental,53.0
21,-2984.4332147078585,Masculino,Médio,43.0
46,,Outro,Médio,67.0
61,29345.32734895661,Outro,Médio,77.0
21,13981.031824067091,Feminino,Fundamental,50.0
45,31744.780474726726,Feminino,Superior,86.0
36,23632.825147738786,Outro,Fundamental,24.0
59,28155.556547225846,Outro,Médio,64.0
52,20467.37045629165,Masculino,Superior,62.0
28,26866.7990162493,Masculino,Superior,92.0
62,31296.092170072443,Feminino,Médio,43.0
58,29069.64645956473,Outro,Superior,84.0
48,23879.374564449983,Feminino,Fundamental,39.0
61,,Outro,Fundamental,53.0
45,21778.197940380287,Masculino,Médio,65.0
54,24131.68996559882,Feminino,Médio,
44,19265.70529379804,Feminino,Médio,74.0
43,21336.23364892001,Outro,Médio,67.0
32,13282.876144331174,Masculino,Fundamental,48.0
26,9435.771086614179,Feminino,Médio,48.0
55,28032.151138459485,Masculino,Médio,77.0
64,30725.113912895722,Feminino,Superior,65.0
39,27019.96494291344,Masculino,Médio,58.0
20,-3254.8490419650607,Outro,Médio,50.0
27,18957.53425961231,Feminino,Médio,41.0
65,,Feminino,Fundamental,28.0
35,7133.048837959253,Masculino,Fundamental,40.0
33,14786.562029598255,Masculino,Superior,83.0
31,,Feminino,Médio,73.0
42,13962.441526410894,Outro,Fundamental,41.0
34,13110.916562045622,Masculino,Médio,42.0
47,17947.120772670856,Masculino,Médio,51.0
53,35261.35221711811,Masculino,Médio,67.0
21,15178.391965737304,Feminino,Médio,69.0
51,31857.775474970793,Feminino,Médio,65.0
42,24608.360320216176,Feminino,Médio,60.0
41,14854.741143913856,Feminino,Fundamental,47.0
44,19377.39866860113,Outro,Médio,65.0
41,22946.87280613959,Outro,Superior,92.0
41,14389.360955540273,Feminino,Superior,
61,34064.99215086194,Outro,Superior,94.0
25,11298.373009209326,Masculino,Médio,73.0
34,15125.895962252014,Masculino,Médio,80.0
62,34554.79984101746,Masculino,Médio,57.0
56,30221.3165574302,Feminino,Médio,50.0
52,24195.1691709046,Masculino,Médio,62.0
27,,Outro,Fundamental,41.0
63,26094.683362000513,Feminino,Médio,56.0
63,34579.67803472132,Outro,Superior,64.0
24,14965.506289841918,Masculino,Médio,50.0
58,27452.267803430048,Masculino,Fundamental,49.0
23,13130.66511121059,Masculino,Médio,54.0
25,6244.432118073484,Feminino,Superior,86.0
64,36620.13509603451,Outro,Médio,74.0
51,24575.489317785054,Feminino,Médio,72.0
49,21886.3848974048,Feminino,Fundamental,39.0
54,32245.046129184448,Masculino,Médio,55.0
59,25978.281547286206,Feminino,Médio,73.0
35,10457.693518182201,Feminino,Superior,61.0
32,8216.854132380482,Masculino,Médio,74.0
61,33530.0497567282,Feminino,Fundamental,59.0
49,18097.853237518582,Masculino,Fundamental,47.0
38,27773.970909921823,Masculino,Fundamental,58.0
36,7590.352960581389,Masculino,Médio,45.0
38,27482.28184145019,Masculino,Médio,
47,24555.087336013094,Feminino,Médio,59.0
45,22016.434440648038,Masculino,Médio,40.0
56,25275.404565955254,Masculino,Médio,47.0
45,24495.680571760353,Feminino,Fundamental,
42,20811.826487875758,Feminino,Fundamental,22.0
28,19516.50941008261,Outro,Superior,63.0
31,16071.138243310199,Feminino,Médio,64.0
20,10751.508807309388,Feminino,Médio,77.0
20,8181.938938930721,Outro,Superior,
53,26215.271881394663,Feminino,Médio,60.0
51,27039.008844460295,Feminino,Superior,94.0
44,,Feminino,Médio,53.0
59,22759.072889471434,Feminino,Superior,95.0
64,35716.32047011358,Outro,Fundamental,
20,10854.32719063971,Feminino,Fundamental,36.0
35,16580.083318236604,Feminino,Médio,78.0
58,29092.169665326965,Outro,Superior,68.0
24,13737.908526808355,Masculino,Superior,94.0
41,17801.201598453194,Outro,Fundamental,32.0
48,20108.476372988436,Masculino,Médio,54.0
22,11979.226275488407,Outro,Superior,77.0
31,10608.13611192484,Outro,Médio,72.0
45,24541.26377857236,Feminino,Superior,65.0
35,8987.081978810798,Masculino,Superior,86.0
56,33145.77818662822,Feminino,Médio,62.0
41,22862.987412065217,Masculino,Médio,66.0
48,25280.14867156938,Outro,Médio,73.0
33,21413.45491972757,Outro,Médio,77.0
47,31827.372222312883,Masculino,Superior,73.0
24,17071.85032509065,Feminino,Médio,75.0
49,15295.628843341774,Feminino,Superior,67.0
65,26102.11516632149,Feminino,Fundamental,54.0
24,8875.907111521607,Feminino,Superior,78.0
31,15630.455251054169,Outro,Médio,69.0
35,20088.295102345615,Outro,Fundamental,33.0
45,18871.280934232673,Outro,Fundamental,39.0
45,23433.833822385393,Outro,Superior,84.0
40,16223.085338233388,Outro,Médio,79.0
58,,Feminino,Superior,83.0
55,20466.69451575889,Feminino,Fundamental,33.0
52,21383.83376944548,Feminino,Fundamental,45.0
49,17741.57697191833,Feminino,Médio,77.0
56,23120.633735113337,Outro,Médio,62.0
42,26268.2089830392,Outro,Médio,61.0
29,9753.005555840286,Outro,Superior,78.0
24,25161.910324186952,Masculino,Superior,62.0
55,29966.589504404445,Feminino,Superior,78.0
53,27424.18061847437,Feminino,Superior,68.0
50,20708.211099093933,Outro,Médio,67.0
29,18001.549397044957,Feminino,Médio,59.0
38,,Feminino,Médio,46.0
51,26110.049073226808,Outro,Superior,73.0
20,22800.42269134397,Masculino,Fundamental,28.0
24,11519.70050137675,Masculino,Médio,58.0
64,37746.36663142838,Masculino,Fundamental,33.0
23,7984.117874370563,Outro,Médio,77.0
35,17325.057547515193,Feminino,Superior,95.0
43,30354.00317817755,Outro,Superior,99.0
35,14365.164711061163,Outro,Médio,56.0
21,19562.242789984644,Feminino,Superior,89.0
47,27038.759677277376,Masculino,Médio,48.0
51,22687.666120528662,Masculino,Fundamental,52.0
46,,Outro,Médio,64.0
39,24362.77224813365,Masculino,Médio,53.0
43,24609.04981108598,Outro,Fundamental,30.0
31,7648.876400547718,Outro,Superior,94.0
54,23364.314120875657,Feminino,Médio,
52,24762.406822242476,Feminino,Superior,73.0
52,25627.832854499768,Feminino,Médio,69.0
62,34103.36048775339,Outro,Fundamental,60.0
56,28888.50500466627,Feminino,Médio,43.0
31,8823.278206449493,Masculino,Fundamental,23.0
22,12900.989255029815,Masculino,Médio,67.0
20,,Outro,Superior,67.0
52,28798.9522396552,Outro,Médio,
59,34903.90362777311,Feminino,Médio,80.0
29,18669.61077274452,Outro,Fundamental,41.0
62,33295.900396142184,Outro,Fundamental,
